date,open,high,close,low,volume,amount
2017-10-10,26.4,26.69,26.59,26.19,36710128.0,970161610.0
2017-10-09,27.45,27.65,26.47,26.24,71173742.0,1923169658.0
2017-09-29,26.56,26.8,26.25,26.0,34575268.0,908847293.0
2017-09-28,27.0,27.15,26.41,26.4,26234700.0,699235160.0
2017-09-27,27.0,27.28,26.84,26.52,36753416.0,990737968.0
2017-09-26,26.12,27.22,26.76,26.1,59304456.0,1585098004.0
2017-09-25,27.2,27.2,26.12,26.1,72270258.0,1913322931.0
2017-09-22,28.39,28.67,27.81,27.52,42309310.0,1184003288.0
2017-09-21,28.5,29.06,28.4,27.75,53632402.0,1515969571.0
2017-09-20,28.5,29.55,28.73,28.0,61309575.0,1763105246.0
2017-09-19,28.27,30.1,28.77,28.1,119630850.0,3484566602.0
2017-09-18,29.01,29.74,28.04,27.99,106304307.0,3051116143.0
2017-09-15,27.5,30.22,29.3,27.47,155049561.0,4549589507.0
2017-09-14,25.78,28.06,27.56,25.55,115069614.0,3120331890.0
2017-09-13,25.3,26.05,25.76,24.99,46746377.0,1201265104.0
2017-09-12,25.03,25.47,25.26,24.82,44226163.0,1112832817.0
2017-09-11,25.61,26.39,25.28,25.03,58277340.0,1493511045.0
2017-09-08,25.9,26.28,25.79,25.16,79576775.0,2043297941.0
2017-09-07,23.96,26.18,25.97,23.96,127456991.0,3234474327.0
2017-09-06,23.79,24.27,23.8,23.5,36171963.0,865955697.0
2017-09-05,23.05,23.89,23.76,23.05,53979291.0,1279252921.0
2017-09-04,22.9,23.04,22.96,22.69,26828334.0,614727601.0
2017-09-01,23.26,23.37,22.88,22.74,40708029.0,933710130.0
2017-08-31,23.19,23.43,23.23,23.01,29889358.0,694243106.0
2017-08-30,23.52,23.58,23.24,23.23,33720217.0,789291579.0
2017-08-29,23.38,23.57,23.36,22.85,43661354.0,1015608551.0
2017-08-28,22.51,23.62,23.22,22.51,89847781.0,2154997909.0
2017-08-25,22.73,22.91,22.44,22.38,48389858.0,1131198661.0
2017-08-24,22.42,22.56,22.33,22.1,18048896.0,417300228.0
2017-08-23,22.49,22.54,22.48,22.17,22222118.0,514484895.0
2017-08-22,22.03,22.63,22.45,21.91,50412349.0,1167246978.0
2017-08-21,21.96,22.06,21.88,21.66,28783245.0,649571378.0
2017-08-18,21.16,22.2,22.07,21.1,55272480.0,1242948881.0
