code,date,open,close,high,low,swing,volume
GDAXI,20130829,8189.02,8194.55,8199.29,8129.99,0.85,69818.44
GDAXI,20130828,8202.86,8157.9,8219.26,8094.22,1.52,97795.38
GDAXI,20130827,8378.93,8242.56,8423.78,8242.56,2.15,106541.75
GDAXI,20130826,8424.07,8435.15,8437.75,8386.05,0.61,42823.78
GDAXI,20130823,8398.28,8416.99,8438.44,8360.23,0.93,67690.06
GDAXI,20130822,8289.3,8397.89,8425.26,8283.77,1.71,80630.81
GDAXI,20130821,8301.06,8285.41,8310.68,8268.42,0.51,65974.69
GDAXI,20130820,8294.87,8300.03,8319.82,8246.19,0.88,84502.63
GDAXI,20130819,8395.02,8366.29,8395.41,8329.0,0.79,59793.0
GDAXI,20130816,8348.42,8391.94,8402.3,8330.33,0.86,85749.5
GDAXI,20130815,8418.94,8376.29,8422.03,8307.98,1.35,72727.81
GDAXI,20130814,8424.88,8438.12,8457.05,8400.75,0.67,80101.19
GDAXI,20130813,8395.82,8415.76,8444.52,8383.23,0.73,95295.56
GDAXI,20130812,8341.96,8359.25,8371.16,8238.86,1.59,82331.81
GDAXI,20130809,8332.53,8338.31,8374.59,8286.41,1.06,89030.31
GDAXI,20130808,8256.4,8318.32,8341.44,8252.46,1.08,145598.32
GDAXI,20130807,8265.33,8260.48,8281.52,8228.11,0.64,78950.94
GDAXI,20130806,8387.93,8299.73,8435.49,8267.98,1.99,122121.75
GDAXI,20130805,8416.11,8398.38,8435.32,8367.34,0.81,62901.13
GDAXI,20130802,8428.58,8406.94,8431.67,8376.28,0.66,73393.63
GDAXI,20130801,8320.38,8410.73,8411.3,8316.89,1.14,97990.38
GDAXI,20130731,8235.22,8275.97,8295.56,8213.36,0.99,113064.5
GDAXI,20130730,8302.14,8271.02,8333.95,8256.4,0.94,135632.19
GDAXI,20130729,8307.12,8259.03,8324.15,8245.53,0.95,67355.5
GDAXI,20130726,8341.78,8244.91,8362.04,8217.26,1.74,75415.06
GDAXI,20130725,8349.52,8298.98,8356.88,8265.14,1.09,96060.63
GDAXI,20130724,8325.06,8379.11,8415.33,8318.48,1.16,88484.88
GDAXI,20130723,8358.62,8314.23,8365.98,8306.6,0.71,80771.88
GDAXI,20130722,8343.28,8331.06,8374.47,8310.29,0.77,73050.63
GDAXI,20130719,8299.01,8331.57,8336.87,8284.36,0.63,119916.32
GDAXI,20130718,8239.38,8337.09,8337.2,8215.66,1.47,79507.88
GDAXI,20130717,8216.7,8254.72,8269.22,8137.53,1.61,71745.81
GDAXI,20130716,8251.51,8201.05,8252.25,8178.19,0.9,68666.5
GDAXI,20130715,8237.92,8234.81,8271.38,8211.42,0.73,67635.81
GDAXI,20130712,8192.91,8212.77,8244.13,8178.2,0.81,87866.19
GDAXI,20130711,8163.56,8158.8,8176.7,8130.48,0.57,81260.0
GDAXI,20130710,8056.51,8066.48,8081.21,7990.65,1.12,55416.1
GDAXI,20130709,8021.13,8057.75,8086.95,8005.73,1.02,82854.69
GDAXI,20130708,7865.92,7968.54,8015.21,7848.14,2.14,100325.38
GDAXI,20130705,8010.44,7806.0,8031.71,7805.36,2.83,116269.19
GDAXI,20130704,7877.91,7994.31,8015.08,7863.76,1.93,119377.63
GDAXI,20130703,7841.18,7829.32,7841.87,7730.37,1.41,115952.82
GDAXI,20130702,7988.92,7910.77,7988.96,7873.97,1.44,96760.69
GDAXI,20130701,8000.02,7983.92,8023.15,7890.28,1.67,96718.56
GDAXI,20130628,8015.53,7959.22,8037.68,7906.14,1.65,101763.88
GDAXI,20130627,7945.92,7990.75,8025.81,7919.59,1.34,102937.82
GDAXI,20130626,7810.37,7940.99,7960.45,7800.85,2.04,128566.88
GDAXI,20130625,7741.13,7811.3,7842.48,7725.99,1.51,109485.38
GDAXI,20130624,7776.88,7692.45,7823.84,7655.83,2.16,121376.94
GDAXI,20130621,7946.32,7789.24,7987.04,7789.24,2.49,245491.07
GDAXI,20130620,8085.67,7928.48,8085.67,7911.96,2.12,131807.44
GDAXI,20130619,8254.57,8197.08,8285.9,8160.5,1.52,78657.31
GDAXI,20130618,8196.44,8229.51,8241.6,8176.19,0.8,56222.95
GDAXI,20130617,8170.75,8215.73,8265.49,8167.67,1.2,55023.92
GDAXI,20130614,8157.88,8127.96,8188.0,8111.38,0.95,56837.84
GDAXI,20130613,8023.37,8095.39,8110.38,7968.13,1.75,77743.5
GDAXI,20130612,8204.91,8143.27,8246.08,8122.72,1.5,63756.79
GDAXI,20130611,8256.19,8222.46,8260.86,8141.02,1.44,76594.06
GDAXI,20130610,8246.04,8307.69,8355.79,8245.94,1.33,62155.65
GDAXI,20130607,8124.88,8254.68,8279.03,8034.55,3.02,82907.31
GDAXI,20130606,8188.82,8098.81,8235.09,8098.81,1.66,69078.25
GDAXI,20130605,8229.23,8196.18,8293.28,8182.08,1.34,72091.13
GDAXI,20130604,8358.68,8295.96,8384.36,8274.94,1.32,69931.88
GDAXI,20130603,8291.49,8285.8,8395.56,8214.78,2.17,97748.31
GDAXI,20130531,8385.38,8348.84,8401.63,8297.03,1.25,122400.0
GDAXI,20130530,8314.2,8400.2,8416.36,8293.96,1.47,103141.38
GDAXI,20130529,8437.21,8336.58,8445.46,8316.7,1.52,107502.0
GDAXI,20130528,8432.46,8480.87,8526.42,8424.4,1.22,97455.0
GDAXI,20130527,8346.6,8383.3,8386.86,8338.32,0.58,48707.26
GDAXI,20130524,8390.16,8305.32,8391.02,8262.64,1.54,131150.0
GDAXI,20130523,8410.06,8351.98,8412.25,8281.11,1.54,132876.69
GDAXI,20130522,8467.56,8530.89,8557.86,8434.83,1.45,110213.38
GDAXI,20130521,8446.78,8472.2,8476.18,8397.54,0.93,113836.75
GDAXI,20130520,8434.97,8455.83,8456.24,8401.74,0.65,78297.0
GDAXI,20130517,8356.26,8398.0,8408.62,8327.47,0.97,158379.75
GDAXI,20130516,8348.54,8369.87,8401.28,8324.23,0.92,125947.07
GDAXI,20130515,8333.61,8362.42,8368.06,8299.83,0.82,152900.19
GDAXI,20130514,8304.5,8339.11,8339.11,8235.97,1.25,114734.0
GDAXI,20130513,8281.95,8279.29,8294.56,8217.15,0.94,85255.31
GDAXI,20130510,8278.45,8278.59,8358.23,8252.37,1.28,95065.38
GDAXI,20130509,8232.5,8262.55,8274.18,8224.52,0.6,57870.88
GDAXI,20130508,8176.88,8249.71,8253.47,8173.35,0.98,121804.0
GDAXI,20130507,8125.82,8181.78,8206.01,8116.67,1.1,89541.63
GDAXI,20130506,8119.22,8112.08,8148.14,8103.27,0.55,66147.75
GDAXI,20130503,7972.28,8122.29,8130.16,7957.36,2.17,134546.88
GDAXI,20130502,7905.35,7961.71,8005.83,7896.99,1.38,142871.5
GDAXI,20130430,7928.42,7913.71,7965.9,7893.08,0.92,119767.88
GDAXI,20130429,7834.02,7873.5,7873.5,7823.24,0.64,79204.25
GDAXI,20130426,7835.59,7814.76,7840.47,7767.61,0.93,94489.25
GDAXI,20130425,7766.61,7832.86,7838.31,7741.98,1.24,92932.38
GDAXI,20130424,7656.76,7759.03,7767.36,7656.22,1.45,117920.38
GDAXI,20130423,7477.03,7658.21,7664.22,7442.36,2.97,184055.19
GDAXI,20130422,7516.06,7478.11,7538.22,7437.52,1.35,153697.19
GDAXI,20130419,7490.11,7459.96,7531.09,7418.36,1.51,178317.0
GDAXI,20130418,7519.67,7473.73,7556.55,7436.78,1.6,140254.75
GDAXI,20130417,7719.56,7503.03,7722.46,7473.07,3.25,161069.57
GDAXI,20130416,7680.78,7682.58,7739.66,7639.43,1.3,139714.44
GDAXI,20130415,7740.54,7712.63,7773.11,7651.58,1.57,118152.69
GDAXI,20130412,7831.87,7744.77,7838.53,7726.13,1.43,121691.75
GDAXI,20130411,7799.31,7871.63,7885.45,7786.75,1.26,126500.57
GDAXI,20130410,7664.16,7810.63,7822.12,7660.2,2.12,158663.88
GDAXI,20130409,7704.35,7637.51,7723.2,7608.04,1.5,120782.75
GDAXI,20130408,7669.04,7662.64,7698.47,7645.56,0.69,85361.0
GDAXI,20130405,7820.69,7658.75,7825.28,7632.42,2.47,144759.63
GDAXI,20130404,7902.86,7817.39,7927.93,7803.89,1.58,144996.32
GDAXI,20130403,7926.88,7874.75,7953.15,7869.81,1.05,103685.0
GDAXI,20130402,7806.12,7943.87,7949.2,7805.92,1.84,116769.82
GDAXI,20130328,7791.14,7795.31,7842.58,7778.02,0.83,128175.63
GDAXI,20130327,7905.96,7789.09,7916.76,7750.38,2.11,146704.5
GDAXI,20130326,7889.15,7879.67,7912.52,7859.27,0.68,115373.38
GDAXI,20130325,7988.27,7870.9,8030.76,7847.97,2.31,157511.25
GDAXI,20130322,7917.64,7911.35,7953.93,7876.36,0.98,131986.13
GDAXI,20130321,7989.59,7932.51,7999.34,7887.67,1.4,159845.75
GDAXI,20130320,7995.59,8001.97,8030.46,7972.21,0.73,122106.25
GDAXI,20130319,7980.54,7947.79,8000.97,7919.45,1.02,154894.69
GDAXI,20130318,7924.04,8010.7,8020.91,7901.94,1.48,130362.69
GDAXI,20130315,8074.03,8042.85,8074.47,7996.95,0.96,311603.82
GDAXI,20130314,8013.25,8058.37,8060.26,8011.22,0.62,280674.07
GDAXI,20130313,7964.77,7970.91,7978.84,7942.37,0.46,368771.69
GDAXI,20130312,7970.83,7966.12,7999.5,7933.94,0.82,175953.88
GDAXI,20130311,7967.46,7984.29,7989.21,7954.58,0.43,82983.06
GDAXI,20130308,7970.66,7986.47,8015.07,7962.28,0.66,134776.13
