Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-09-18,32.445,32.67,31.88,32.08,5123100.0,0.0,1.0,32.445,32.67,31.88,32.08,5123100.0
2006-09-15,31.9,32.74,31.58,32.52,10273700.0,0.0,1.0,31.9,32.74,31.58,32.52,10273700.0
2006-09-14,31.54,31.87,31.18,31.65,3705700.0,0.0,1.0,31.54,31.87,31.18,31.65,3705700.0
2006-09-13,31.73,31.96,31.37,31.67,4370400.0,0.0,1.0,31.73,31.96,31.37,31.67,4370400.0
2006-09-12,30.87,31.94,30.53,31.72,6527400.0,0.0,1.0,30.87,31.94,30.53,31.72,6527400.0
2006-09-11,30.23,31.13,29.72,30.79,7403800.0,0.0,1.0,30.23,31.13,29.72,30.79,7403800.0
2006-09-08,30.19,30.66,29.94,30.51,5227200.0,0.0,1.0,30.19,30.66,29.94,30.51,5227200.0
2006-09-07,30.57,30.64,29.68,29.73,8901700.0,0.0,1.0,30.57,30.64,29.68,29.73,8901700.0
2006-09-06,31.76,31.98,30.65,30.8,9114100.0,0.0,1.0,31.76,31.98,30.65,30.8,9114100.0
2006-09-05,31.61,32.3,31.24,32.23,7467700.0,0.0,1.0,31.61,32.3,31.24,32.23,7467700.0
2006-09-01,30.85,31.8,30.85,31.76,6563200.0,0.0,1.0,30.85,31.8,30.85,31.76,6563200.0
2006-08-31,30.7545,30.99,30.47,30.83,5947000.0,0.0,1.0,30.7545,30.99,30.47,30.83,5947000.0
2006-08-30,29.57,30.85,29.48,30.67,11303300.0,0.0,1.0,29.57,30.85,29.48,30.67,11303300.0
2006-08-29,28.97,29.72,28.75,29.52,7398100.0,0.0,1.0,28.97,29.72,28.75,29.52,7398100.0
2006-08-28,28.4,29.0,28.27,28.91,6067400.0,0.0,1.0,28.4,29.0,28.27,28.91,6067400.0
2006-08-25,27.79,28.23,27.62,28.03,3542600.0,0.0,1.0,27.79,28.23,27.62,28.03,3542600.0
2006-08-24,28.24,28.25,27.54,27.97,4516900.0,0.0,1.0,28.24,28.25,27.54,27.97,4516900.0
2006-08-23,28.56,28.89,27.77,28.14,4726400.0,0.0,1.0,28.56,28.89,27.77,28.14,4726400.0
2006-08-22,28.14,28.89,28.05,28.37,4587100.0,0.0,1.0,28.14,28.89,28.05,28.37,4587100.0
2006-08-21,28.7,28.98,27.97,28.13,5334900.0,0.0,1.0,28.7,28.98,27.97,28.13,5334900.0
2006-08-18,29.09,29.23,28.22,29.12,5998600.0,0.0,1.0,29.09,29.23,28.22,29.12,5998600.0
2006-08-17,27.96,29.75,27.83,29.09,9496300.0,0.0,1.0,27.96,29.75,27.83,29.09,9496300.0
2006-08-16,27.97,28.14,27.52,27.95,7636600.0,0.0,1.0,27.97,28.14,27.52,27.95,7636600.0
2006-08-15,26.97,27.86,26.62,27.77,8201600.0,0.0,1.0,26.97,27.86,26.62,27.77,8201600.0
2006-08-14,26.22,27.06,26.18,26.53,5128000.0,0.0,1.0,26.22,27.06,26.18,26.53,5128000.0
2006-08-11,26.2,26.43,25.76,26.07,5115900.0,0.0,1.0,26.2,26.43,25.76,26.07,5115900.0
2006-08-10,26.2,26.52,25.88,26.49,6405600.0,0.0,1.0,26.2,26.52,25.88,26.49,6405600.0
2006-08-09,26.54,26.7,26.0,26.21,6911200.0,0.0,1.0,26.54,26.7,26.0,26.21,6911200.0
2006-08-08,26.8,27.02,26.19,26.36,7260200.0,0.0,1.0,26.8,27.02,26.19,26.36,7260200.0
2006-08-07,27.19,27.29,26.59,26.78,5476400.0,0.0,1.0,27.19,27.29,26.59,26.78,5476400.0
2006-08-04,26.94,27.59,26.8,27.29,10252400.0,0.0,1.0,26.94,27.59,26.8,27.29,10252400.0
2006-08-03,26.09,26.9,25.9,26.69,6941100.0,0.0,1.0,26.09,26.9,25.9,26.69,6941100.0
2006-08-02,26.15,26.3,25.89,26.09,7810400.0,0.0,1.0,26.15,26.3,25.89,26.09,7810400.0
2006-08-01,26.55,26.64,25.84,26.32,13128800.0,0.0,1.0,26.55,26.64,25.84,26.32,13128800.0
2006-07-31,27.02,27.29,26.74,26.89,8038200.0,0.0,1.0,27.02,27.29,26.74,26.89,8038200.0
2006-07-28,26.8,27.18,26.57,27.17,12422000.0,0.0,1.0,26.8,27.18,26.57,27.17,12422000.0
2006-07-27,26.45,26.8,26.0,26.56,26393800.0,0.0,1.0,26.45,26.8,26.0,26.56,26393800.0
2006-07-26,28.76,29.0,25.96,26.26,76985200.0,0.0,1.0,28.76,29.0,25.96,26.26,76985200.0
2006-07-25,34.0,34.16,33.39,33.59,17230000.0,0.0,1.0,34.0,34.16,33.39,33.59,17230000.0
2006-07-24,33.35,34.68,33.34,34.31,7385400.0,0.0,1.0,33.35,34.68,33.34,34.31,7385400.0
2006-07-21,33.85,33.97,32.92,33.19,7136600.0,0.0,1.0,33.85,33.97,32.92,33.19,7136600.0
2006-07-20,34.39,34.81,33.83,34.18,5836200.0,0.0,1.0,34.39,34.81,33.83,34.18,5836200.0
